goal,subgoal,subsubgoal_id,subsubgoal_code,subsubgoal,objective_code,objective_id,objective,chapters,abcd_only,n_assessment_items
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.1,F,Understand F,F1,4.3.1.1,Define F as a measure of the strength of a relationship per parameter used in a model; and as a ratio of variation explained to variation unexplained,"8, 11",no,5
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.1,F,Understand F,F2,4.3.1.2,Use simulation to explore which statistics can be modeled with the F distribution. (R),11,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.1,F,Understand F,F3,4.3.1.3,"Interpret an F distribution, and distinguish the F statistic from the F distribution",11,no,2
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.1,F,Understand F,F4,4.3.1.4,Recognize that the shape of the F distribution depends on the degrees of freedom for model and for error,11,no,2
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.2,MC,Conduct model comparison,MC1,4.3.2.1,Conduct F tests for ANOVA and regression models in some context for some purpose,11,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.2,MC,Conduct model comparison,MC2,4.3.2.2,"Identify the region that corresponds to p-value in a sampling distribution of F, PRE, or b1","10, 11",no,8
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.2,MC,Conduct model comparison,MC3,4.3.2.3,"Define p-value as the probability of obtaining an F, PRE, or b1 statistic as extreme or more extreme than the one observed given the truth of the empty model","10, 11",no,3
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.2,MC,Conduct model comparison,MC4,4.3.2.4,Explain how the numbers in an ANOVA table are calculated and what they mean,"7, 8, 9, 10, 11",no,7
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.2,MC,Conduct model comparison,MC5,4.3.2.5,Recognize and apply the mathematical equivalent of what the statistical community deems “unlikely”,"6, 10, 11",no,12
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC1,4.3.3.1,"Explain what it means to ""reject the empty model""","10, 11",no,2
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC2,4.3.3.2,Determine which statistics can be used to compare two group or three group models versus an empty model,"7, 8, 10, 11",no,2
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC3,4.3.3.3,Recognize the limitations of the F test in a three group model,11,no,1
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC4,4.3.3.4,Explain the relationship between an F test and a t test,11,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC5,4.3.3.5,Recognize and explain the need for simple effects tests,11,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC6,4.3.3.6,Use the results of ANOVA tables to make predictions about confidence intervals,12,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC7,4.3.3.7,Explain the problem of simultaneous comparisons and how it is addressed by the bonferroni correction,11,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC8,4.3.3.8,Conduct and interpret pairwise comparisons in R,11,no,5
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC9,4.3.3.9,Explain the inherent risk of statisticians’ p hacking; calculate likelihood of p-hacking,11,no,0
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC10,4.3.3.10,Explain and recognize Type I error and why its probability of occurring is never zero,"10, 11",no,3
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC11,4.3.3.11,Explain the use of an alpha level and how it relates to type I and type II error,"10, 11",no,3
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC12,4.3.3.12,Explain and recognize Type II error,"10, 11",no,2
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC13,4.3.3.13,Use the F statistic to compare models; intuit about effect size based on size of F ratio,8,no,1
4. Evaluate Models,4.3. Compare models using the F distribution,4.3.3,IMC,Interpret results of model comparison,IMC14,4.3.3.14,Interpret a p-value and link to the assumed Data Generating Process,"10, 11",no,4
